fen,result
"8/2p5/5k2/5b2/8/8/5K2/1q6 b - - 1 29",0
"8/8/5k2/2p2b2/8/8/5K2/1q6 w - c6 0 30",0
"8/8/5k2/2p2b2/8/6K1/8/1q6 b - - 1 30",0
"8/8/5k2/2p2b2/8/6K1/8/2q5 w - - 2 31",0
"8/8/5k2/2p2b2/8/5K2/8/2q5 b - - 3 31",0
"8/8/5k2/5b2/2p5/5K2/8/2q5 w - - 0 32",0
"8/8/5k2/5b2/2p5/8/6K1/2q5 b - - 1 32",0
"8/8/5k2/5b2/8/2p5/6K1/2q5 w - - 0 33",0
"8/8/5k2/5b2/8/2p2K2/8/2q5 b - - 1 33",0
"8/8/5k2/5b2/8/5K2/2p5/2q5 w - - 0 34",0
"8/8/5k2/5b2/8/6K1/2p5/2q5 b - - 1 34",0
"8/3b4/5k2/8/8/6K1/2p5/2q5 w - - 2 35",0
"8/3b4/5k2/8/8/8/2p2K2/2q5 b - - 3 35",0
"8/3b4/8/4k3/8/8/2p2K2/2q5 w - - 4 36",0
"8/3b4/8/4k3/8/8/2p1K3/2q5 b - - 5 36",0
"8/3b4/8/4k3/8/4q3/2p1K3/8 w - - 6 37",0
"8/3b4/8/4k3/8/4K3/2p5/8 b - - 0 37",0
"8/3b4/8/4k3/8/4K3/8/2q5 w - - 0 38",0
"8/3b4/8/4k3/8/3K4/8/2q5 b - - 1 38",0
"8/3b4/8/4k3/8/2qK4/8/8 w - - 2 39",0
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1",0
"rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq - 0 1",0
"rnbqkb1r/pppppppp/5n2/8/8/4P3/PPPP1PPP/RNBQKBNR w KQkq - 1 2",0
"rnbqkb1r/pppppppp/5n2/8/8/2N1P3/PPPP1PPP/R1BQKBNR b KQkq - 2 2",0
"r1bqkb1r/pppppppp/2n2n2/8/8/2N1P3/PPPP1PPP/R1BQKBNR w KQkq - 3 3",0
"r1bqkb1r/pppppppp/2n2n2/8/8/2N1PN2/PPPP1PPP/R1BQKB1R b KQkq - 4 3",0
"r1bqkb1r/ppp1pppp/2n2n2/3p4/8/2N1PN2/PPPP1PPP/R1BQKB1R w KQkq d6 0 4",0
"r1bqkb1r/ppp1pppp/2n2n2/3N4/8/4PN2/PPPP1PPP/R1BQKB1R b KQkq - 0 4",0
"r1bqkb1r/ppp1ppp1/2n2n1p/3N4/8/4PN2/PPPP1PPP/R1BQKB1R w KQkq - 0 5",0
"r1bqkb1r/ppp1ppp1/2n2n1p/3N4/2P5/4PN2/PP1P1PPP/R1BQKB1R b KQkq c3 0 5",0
"r1b1kb1r/ppp1ppp1/2n2n1p/3q4/2P5/4PN2/PP1P1PPP/R1BQKB1R w KQkq - 0 6",0
"r1b1kb1r/ppp1ppp1/2n2n1p/3q4/2P5/4PN1P/PP1P1PP1/R1BQKB1R b KQkq - 0 6",0
"r1b1kb1r/ppp1ppp1/2n2n1p/8/2P5/4Pq1P/PP1P1PP1/R1BQKB1R w KQkq - 0 7",0
"r1b1kb1r/ppp1ppp1/2n2n1p/8/2P5/4PQ1P/PP1P1PP1/R1B1KB1R b KQkq - 0 7",0
